,flow,country1,country2,currency,amount
347,Import,ISL,FIN,USD,3506394.0
348,Import,IRL,FIN,USD,11114046.0
349,Import,ITA,FIN,USD,145350586.0
350,Import,JPN,FIN,USD,120196118.0
351,Import,LUX,FIN,USD,3418947.0
352,Import,MEX,FIN,USD,49435664.0
353,Import,NLD,FIN,USD,380310758.0
354,Import,NOR,FIN,USD,190013823.0
355,Import,POL,FIN,USD,141526917.0
356,Import,PRT,FIN,USD,14658682.0
357,Import,SWE,FIN,USD,705932775.0
358,Import,CHE,FIN,USD,58651966.0
359,Import,TUR,FIN,USD,103747930.0
360,Import,GBR,FIN,USD,326614784.0
361,Import,USA,FIN,USD,388266667.0
362,Import,CHL,FIN,USD,29864262.0
363,Import,EST,FIN,USD,186234341.0
364,Import,SVN,FIN,USD,6331621.0
393,Import,AUS,FRA,USD,322936865.0
394,Import,AUT,FRA,USD,416758157.0
395,Import,BEL,FRA,USD,3943164088.0
396,Import,CAN,FRA,USD,434460087.0
397,Import,CZE,FRA,USD,383420822.0
398,Import,DNK,FRA,USD,243193444.0
399,Import,FIN,FRA,USD,212242127.0
400,Import,FRA,FRA,USD,543364394.0
401,Import,DEU,FRA,USD,7106428056.0
402,Import,GRC,FRA,USD,241615411.0
403,Import,HUN,FRA,USD,293735583.0
404,Import,ISL,FRA,USD,9407892.0
405,Import,IRL,FRA,USD,232126244.0
406,Import,ITA,FRA,USD,3348116363.0
407,Import,JPN,FRA,USD,972697920.0
408,Import,LUX,FRA,USD,247348565.0
409,Import,MEX,FRA,USD,307547680.0
410,Import,NLD,FRA,USD,1889131384.0
411,Import,NOR,FRA,USD,250459896.0
412,Import,POL,FRA,USD,650793250.0
413,Import,PRT,FRA,USD,423645390.0
414,Import,SWE,FRA,USD,528245544.0
415,Import,CHE,FRA,USD,1369740348.0
416,Import,TUR,FRA,USD,673311645.0
417,Import,GBR,FRA,USD,3227287667.0
418,Import,USA,FRA,USD,3791008333.0
419,Import,CHL,FRA,USD,202365859.0
420,Import,EST,FRA,USD,38250491.0
421,Import,SVN,FRA,USD,103945104.0
451,Import,AUS,DEU,USD,919181161.0
452,Import,AUT,DEU,USD,5366184143.0
453,Import,BEL,DEU,USD,5072638244.0
454,Import,CAN,DEU,USD,1245167784.0
455,Import,CZE,DEU,USD,3064342839.0
456,Import,DNK,DEU,USD,1684692089.0
457,Import,FIN,DEU,USD,810469865.0
458,Import,FRA,DEU,USD,9514246505.0
459,Import,GRC,DEU,USD,502374323.0
460,Import,HUN,DEU,USD,2065567667.0
461,Import,ISL,DEU,USD,34106638.0
462,Import,IRL,DEU,USD,446910851.0
463,Import,ITA,DEU,USD,5852688063.0
464,Import,JPN,DEU,USD,1981400573.0
465,Import,LUX,DEU,USD,542072322.0
466,Import,MEX,DEU,USD,1121748957.0
467,Import,NLD,DEU,USD,6936399704.0
468,Import,NOR,DEU,USD,928522956.0
469,Import,POL,DEU,USD,3696578667.0
470,Import,PRT,DEU,USD,714178317.0
471,Import,SWE,DEU,USD,2221728189.0
472,Import,CHE,DEU,USD,4714287382.0
473,Import,TUR,DEU,USD,2015412471.0
474,Import,GBR,DEU,USD,7208439168.0
475,Import,USA,DEU,USD,9553708333.0
476,Import,CHL,DEU,USD,266809349.0
477,Import,EST,DEU,USD,174846170.0
478,Import,SVN,DEU,USD,406754550.0
507,Import,AUS,GRC,USD,13691256.0
508,Import,AUT,GRC,USD,19007589.0
509,Import,BEL,GRC,USD,34913173.0
510,Import,CAN,GRC,USD,12382892.0
